best_speedup,cct_nodes,class_name,e1,e2,e4,e8,max_depth,max_frontier_width,mean_frontier_width,role,s1,s2,s4,s8,speedup_8,subject,t1,t2,t4,t8,testcases
1.3057272041385486,1137,WaterBillCaculator,1.0,0.5919589734801312,0.3193524293562649,0.16321590051731857,87,19,7.5,min,1.0,1.1839179469602623,1.2774097174250596,1.3057272041385486,1.3057272041385486,EX_CSC__WaterBillCaculator,20.136666624995996,17.008498499999405,15.763671084001544,15.421802166005364,31
1.787496987703915,415,SubtractLoop,1.0,0.7144065806281094,0.4313173601494794,0.22343712346298938,106,128,34,q1,1.0,1.4288131612562187,1.7252694405979176,1.787496987703915,1.787496987703915,EX_CSC_dataset__SubtractLoop,71.39542779199837,49.96834416700585,41.38218999998935,39.94156537500385,205
1.985043223344611,423,TicketPrice,1.0,0.7503177069991107,0.46337651462887236,0.24813040291807636,57,104,25.625,median,1.0,1.5006354139982214,1.8535060585154894,1.985043223344611,1.985043223344611,EX_CSC_dataset__TicketPrice,61.01289287500549,40.65803879201121,32.91755783300323,30.736304457997903,206
2.174878673648689,685,MaxOfFive,1.0,0.7412156155802826,0.5128797761622096,0.2718598342060861,9,60,27.25,q3,1.0,1.4824312311605652,2.0515191046488384,2.174878673648689,2.174878673648689,EX_CSC_dataset__MaxOfFive,61.51510645799863,41.49609450000571,29.9851492089947,28.284385332997772,219
2.4201479959190735,539,GradePolicy,1.0,0.8280990922567412,0.5644674909166695,0.3025184994898842,48,57,24.5,max,1.0,1.6561981845134823,2.257869963666678,2.4201479959190735,2.4201479959190735,EX_CSC_dataset__GradePolicy,41.31137500000477,24.943497334010317,18.296613917002105,17.069772208007635,148
