F_total,P_total,aggregated_report,candidate_count,condition_candidate_count,edge_candidate_count,fault_category,fault_kind,mutant_id,operator,primary_file,primary_line,reason,scoring_strategy,sfl_formula,status,strategy,subject,top1_budget,top1_sfl_hit,top1_sfl_region_lines,top1_unified_hit,top1_unified_region_lines,top2_budget,top2_sfl_hit,top2_sfl_region_lines,top2_unified_hit,top2_unified_region_lines,top3_budget,top3_sfl_hit,top3_sfl_region_lines,top3_unified_hit,top3_unified_region_lines,top4_budget,top4_sfl_hit,top4_sfl_region_lines,top4_unified_hit,top4_unified_region_lines,top5_budget,top5_sfl_hit,top5_sfl_region_lines,top5_unified_hit,top5_unified_region_lines,top_unified_items
60,108,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/ScoreNormalizer_M4/cct_folded_localization_aggregated.json,15,10,5,statement,data-flow,ScoreNormalizer_M4,AOR,ScoreNormalizer/ScoreNormalizer_M4.java,14,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,ScoreNormalizer,1,True,[14],False,[31],3,True,"[14, 28, 31]",True,"[14, 18, 31]",4,True,"[10, 14, 28, 31]",True,"[14, 18, 28, 31]",5,True,"[10, 11, 14, 28, 31]",True,"[13, 14, 18, 28, 31]",5,True,"[10, 11, 14, 28, 31]",True,"[13, 14, 18, 28, 31]","[{'kind': 'edge_partition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M4.java', 'from_line': 28, 'from_condition': 'score < 0', 'outcome': 'false', 'to_line': None, 'to_condition': None, 'region_lines': [31], 'region_size': 1, 'risk_score': 0.7228915662650602, 'base_risk_score': 0.7228915662650602, 'pass_count': 23, 'fail_count': 60, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M4.java', 'from_line': 13, 'from_condition': 'score < 90', 'outcome': 'true', 'to_line': 12, 'to_condition': 'remainingBonus > 0', 'region_lines': [14, 18], 'region_size': 2, 'risk_score': 0.6, 'base_risk_score': 0.6, 'pass_count': 40, 'fail_count': 60, 'support_count': 2, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 2}, {'kind': 'condition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M4.java', 'line': 28, 'condition': 'score < 0', 'region_lines': [28], 'region_size': 1, 'risk_score': 0.4838709677419355, 'pass_count': 64, 'fail_count': 60, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 3}, {'kind': 'condition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M4.java', 'line': 13, 'condition': 'score < 90', 'region_lines': [13], 'region_size': 1, 'risk_score': 0.375, 'pass_count': 100, 'fail_count': 60, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 4}, {'kind': 'edge_partition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M4.java', 'from_line': 13, 'from_condition': 'score < 90', 'outcome': 'false', 'to_line': 12, 'to_condition': 'remainingBonus > 0', 'region_lines': [18], 'region_size': 1, 'risk_score': 0.375, 'base_risk_score': 0.375, 'pass_count': 100, 'fail_count': 60, 'support_count': 1, 'best_raw_rank': 4, 'original_rank': 3, 'rank': 5}]"
26,131,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/ScoreNormalizer_M5/cct_folded_localization_aggregated.json,14,10,4,statement,data-flow,ScoreNormalizer_M5,AOR,ScoreNormalizer/ScoreNormalizer_M5.java,16,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,ScoreNormalizer,2,True,"[16, 26]",True,"[16, 18]",3,True,"[10, 16, 26]",True,"[16, 18, 26]",4,True,"[10, 11, 16, 26]",True,"[13, 16, 18, 26]",5,True,"[10, 11, 12, 16, 26]",True,"[12, 13, 16, 18, 26]",6,True,"[10, 11, 12, 13, 16, 26]",True,"[12, 13, 16, 18, 21, 26]","[{'kind': 'edge_partition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M5.java', 'from_line': 13, 'from_condition': 'score < 90', 'outcome': 'false', 'to_line': 12, 'to_condition': 'remainingBonus > 0', 'region_lines': [16, 18], 'region_size': 2, 'risk_score': 0.52, 'base_risk_score': 0.52, 'pass_count': 123, 'fail_count': 26, 'support_count': 3, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M5.java', 'from_line': 25, 'from_condition': 'score > 100', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [26], 'region_size': 1, 'risk_score': 0.24615384615384617, 'base_risk_score': 0.24615384615384617, 'pass_count': 24, 'fail_count': 16, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 2, 'rank': 2}, {'kind': 'condition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M5.java', 'line': 13, 'condition': 'score < 90', 'region_lines': [13], 'region_size': 1, 'risk_score': 0.174496644295302, 'pass_count': 123, 'fail_count': 26, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 3}, {'kind': 'condition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M5.java', 'line': 12, 'condition': 'remainingBonus > 0', 'region_lines': [12], 'region_size': 1, 'risk_score': 0.16993464052287582, 'pass_count': 127, 'fail_count': 26, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 4}, {'kind': 'condition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M5.java', 'line': 21, 'condition': 'strictMode', 'region_lines': [21], 'region_size': 1, 'risk_score': 0.16993464052287582, 'pass_count': 127, 'fail_count': 26, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 5}]"
48,50,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/ScoreNormalizer_M6/cct_folded_localization_aggregated.json,15,10,5,statement,data-flow,ScoreNormalizer_M6,SUR,ScoreNormalizer/ScoreNormalizer_M6.java,18,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,ScoreNormalizer,1,False,[31],False,[31],2,False,"[28, 31]",False,"[28, 31]",4,False,"[10, 11, 28, 31]",True,"[16, 18, 28, 31]",5,False,"[10, 11, 12, 28, 31]",True,"[13, 16, 18, 28, 31]",6,False,"[10, 11, 12, 13, 28, 31]",True,"[12, 13, 16, 18, 28, 31]","[{'kind': 'edge_partition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M6.java', 'from_line': 28, 'from_condition': 'score < 0', 'outcome': 'false', 'to_line': None, 'to_condition': None, 'region_lines': [31], 'region_size': 1, 'risk_score': 0.9056603773584906, 'base_risk_score': 0.9056603773584906, 'pass_count': 5, 'fail_count': 48, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M6.java', 'line': 28, 'condition': 'score < 0', 'region_lines': [28], 'region_size': 1, 'risk_score': 0.6486486486486487, 'pass_count': 26, 'fail_count': 48, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'edge_partition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M6.java', 'from_line': 13, 'from_condition': 'score < 90', 'outcome': 'false', 'to_line': 12, 'to_condition': 'remainingBonus > 0', 'region_lines': [16, 18], 'region_size': 2, 'risk_score': 0.5333333333333333, 'base_risk_score': 0.5333333333333333, 'pass_count': 42, 'fail_count': 48, 'support_count': 3, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}, {'kind': 'condition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M6.java', 'line': 13, 'condition': 'score < 90', 'region_lines': [13], 'region_size': 1, 'risk_score': 0.5333333333333333, 'pass_count': 42, 'fail_count': 48, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 4}, {'kind': 'condition', 'source_file': 'ScoreNormalizer/ScoreNormalizer_M6.java', 'line': 12, 'condition': 'remainingBonus > 0', 'region_lines': [12], 'region_size': 1, 'risk_score': 0.5106382978723404, 'pass_count': 46, 'fail_count': 48, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 5}]"
87,141,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/SelectionSortFive_M1/cct_folded_localization_aggregated.json,41,19,22,condition,control-flow,SelectionSortFive_M1,ROR,SelectionSort/SelectionSortFive_M1.java,5,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,SelectionSort,1,False,[3],False,[47],2,False,"[3, 4]",False,"[20, 47]",3,True,"[3, 4, 5]",False,"[20, 43, 47]",4,True,"[3, 4, 5, 6]",True,"[5, 20, 43, 47]",5,True,"[3, 4, 5, 6, 11]",True,"[5, 8, 20, 43, 47]","[{'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M1.java', 'line': 47, 'condition': 'min == e', 'region_lines': [47], 'region_size': 1, 'risk_score': 0.4308987238664133, 'pass_count': 58, 'fail_count': 69, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M1.java', 'line': 20, 'condition': 'min == c', 'region_lines': [20], 'region_size': 1, 'risk_score': 0.4089534180278282, 'pass_count': 93, 'fail_count': 78, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 2}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M1.java', 'line': 43, 'condition': 'min == d', 'region_lines': [43], 'region_size': 1, 'risk_score': 0.3996059113300493, 'pass_count': 97, 'fail_count': 78, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 3}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M1.java', 'line': 5, 'condition': 'b > min', 'region_lines': [5], 'region_size': 1, 'risk_score': 0.3815789473684211, 'pass_count': 141, 'fail_count': 87, 'support_count': 1, 'best_raw_rank': 4, 'original_rank': 4, 'rank': 4}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M1.java', 'line': 8, 'condition': 'c < min', 'region_lines': [8], 'region_size': 1, 'risk_score': 0.3815789473684211, 'pass_count': 141, 'fail_count': 87, 'support_count': 1, 'best_raw_rank': 5, 'original_rank': 5, 'rank': 5}]"
216,48,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/SelectionSortFive_M2/cct_folded_localization_aggregated.json,41,19,22,condition,control-flow,SelectionSortFive_M2,ROR,SelectionSort/SelectionSortFive_M2.java,35,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,SelectionSort,1,False,[3],False,[5],2,False,"[3, 4]",False,"[5, 8]",3,False,"[3, 4, 5]",False,"[5, 8, 11]",4,False,"[3, 4, 5, 6]",False,"[5, 8, 11, 14]",5,False,"[3, 4, 5, 6, 11]",False,"[5, 8, 11, 14, 18]","[{'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M2.java', 'line': 5, 'condition': 'b < min', 'region_lines': [5], 'region_size': 1, 'risk_score': 0.8181818181818182, 'pass_count': 48, 'fail_count': 216, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M2.java', 'line': 8, 'condition': 'c < min', 'region_lines': [8], 'region_size': 1, 'risk_score': 0.8181818181818182, 'pass_count': 48, 'fail_count': 216, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 2}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M2.java', 'line': 11, 'condition': 'd < min', 'region_lines': [11], 'region_size': 1, 'risk_score': 0.8181818181818182, 'pass_count': 48, 'fail_count': 216, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 3}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M2.java', 'line': 14, 'condition': 'e < min', 'region_lines': [14], 'region_size': 1, 'risk_score': 0.8181818181818182, 'pass_count': 48, 'fail_count': 216, 'support_count': 1, 'best_raw_rank': 4, 'original_rank': 4, 'rank': 4}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M2.java', 'line': 18, 'condition': 'min == b', 'region_lines': [18], 'region_size': 1, 'risk_score': 0.8181818181818182, 'pass_count': 48, 'fail_count': 216, 'support_count': 1, 'best_raw_rank': 5, 'original_rank': 5, 'rank': 5}]"
255,40,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/SelectionSortFive_M3/cct_folded_localization_aggregated.json,41,19,22,condition,control-flow,SelectionSortFive_M3,ROR,SelectionSort/SelectionSortFive_M3.java,72,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,SelectionSort,1,False,[44],False,[5],2,False,"[44, 45]",False,"[5, 8]",3,False,"[44, 45, 46]",False,"[5, 8, 11]",4,False,"[3, 44, 45, 46]",False,"[5, 8, 11, 14]",5,False,"[3, 4, 44, 45, 46]",False,"[5, 8, 11, 14, 18]","[{'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M3.java', 'line': 5, 'condition': 'b < min', 'region_lines': [5], 'region_size': 1, 'risk_score': 0.864406779661017, 'pass_count': 40, 'fail_count': 255, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M3.java', 'line': 8, 'condition': 'c < min', 'region_lines': [8], 'region_size': 1, 'risk_score': 0.864406779661017, 'pass_count': 40, 'fail_count': 255, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 2}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M3.java', 'line': 11, 'condition': 'd < min', 'region_lines': [11], 'region_size': 1, 'risk_score': 0.864406779661017, 'pass_count': 40, 'fail_count': 255, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 3}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M3.java', 'line': 14, 'condition': 'e < min', 'region_lines': [14], 'region_size': 1, 'risk_score': 0.864406779661017, 'pass_count': 40, 'fail_count': 255, 'support_count': 1, 'best_raw_rank': 4, 'original_rank': 4, 'rank': 4}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M3.java', 'line': 18, 'condition': 'min == b', 'region_lines': [18], 'region_size': 1, 'risk_score': 0.864406779661017, 'pass_count': 40, 'fail_count': 255, 'support_count': 1, 'best_raw_rank': 5, 'original_rank': 5, 'rank': 5}]"
49,255,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/SelectionSortFive_M4/cct_folded_localization_aggregated.json,30,16,14,statement,data-flow,SelectionSortFive_M4,SUR,SelectionSort/SelectionSortFive_M4.java,19,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,SelectionSort,2,False,"[33, 34]",True,"[19, 28]",3,False,"[33, 34, 35]",True,"[19, 28, 43]",4,False,"[33, 34, 35, 44]",True,"[6, 19, 28, 43]",5,False,"[33, 34, 35, 44, 45]",True,"[6, 19, 28, 43, 53]",6,False,"[33, 34, 35, 44, 45, 46]",True,"[6, 19, 28, 43, 47, 53]","[{'kind': 'edge_partition', 'source_file': 'SelectionSort/SelectionSortFive_M4.java', 'from_line': 18, 'from_condition': 'min == b', 'outcome': 'true', 'to_line': 29, 'to_condition': 'c < min', 'region_lines': [19, 28], 'region_size': 2, 'risk_score': 0.7424242424242424, 'base_risk_score': 0.7424242424242424, 'pass_count': 17, 'fail_count': 49, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M4.java', 'line': 43, 'condition': 'min == d', 'region_lines': [43], 'region_size': 1, 'risk_score': 0.22580645161290322, 'pass_count': 168, 'fail_count': 49, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'edge_partition', 'source_file': 'SelectionSort/SelectionSortFive_M4.java', 'from_line': 5, 'from_condition': 'b < min', 'outcome': 'true', 'to_line': 8, 'to_condition': 'c < min', 'region_lines': [6], 'region_size': 1, 'risk_score': 0.21551724137931033, 'base_risk_score': 0.21551724137931033, 'pass_count': 81, 'fail_count': 35, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}, {'kind': 'edge_partition', 'source_file': 'SelectionSort/SelectionSortFive_M4.java', 'from_line': 47, 'from_condition': 'min == e', 'outcome': 'false', 'to_line': 54, 'to_condition': 'd < min', 'region_lines': [53], 'region_size': 1, 'risk_score': 0.1959183673469388, 'base_risk_score': 0.1959183673469388, 'pass_count': 36, 'fail_count': 24, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 4}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M4.java', 'line': 47, 'condition': 'min == e', 'region_lines': [47], 'region_size': 1, 'risk_score': 0.1836734693877551, 'pass_count': 108, 'fail_count': 36, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 5}]"
43,261,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/SelectionSortFive_M5/cct_folded_localization_aggregated.json,34,18,16,statement,data-flow,SelectionSortFive_M5,SUR,SelectionSort/SelectionSortFive_M5.java,45,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,SelectionSort,4,False,"[3, 4, 5, 6]",True,"[44, 45, 46, 53]",5,False,"[3, 4, 5, 6, 11]",True,"[33, 44, 45, 46, 53]",6,False,"[3, 4, 5, 6, 11, 16]",True,"[33, 43, 44, 45, 46, 53]",7,False,"[3, 4, 5, 6, 11, 16, 21]",True,"[33, 43, 44, 45, 46, 53, 78]",10,False,"[3, 4, 5, 6, 11, 16, 21, 26, 42, 43]",True,"[33, 43, 44, 45, 46, 53, 63, 64, 65, 78]","[{'kind': 'edge_partition', 'source_file': 'SelectionSort/SelectionSortFive_M5.java', 'from_line': 43, 'from_condition': 'min == d', 'outcome': 'true', 'to_line': 54, 'to_condition': 'd < min', 'region_lines': [44, 45, 46, 53], 'region_size': 4, 'risk_score': 0.589041095890411, 'base_risk_score': 0.589041095890411, 'pass_count': 30, 'fail_count': 43, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'SelectionSort/SelectionSortFive_M5.java', 'from_line': 32, 'from_condition': 'd < min', 'outcome': 'true', 'to_line': 35, 'to_condition': 'e < min', 'region_lines': [33], 'region_size': 1, 'risk_score': 0.2865235539654144, 'base_risk_score': 0.2865235539654144, 'pass_count': 47, 'fail_count': 31, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 2}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M5.java', 'line': 43, 'condition': 'min == d', 'region_lines': [43], 'region_size': 1, 'risk_score': 0.19815668202764977, 'pass_count': 174, 'fail_count': 43, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 3}, {'kind': 'edge_partition', 'source_file': 'SelectionSort/SelectionSortFive_M5.java', 'from_line': 72, 'from_condition': 'd > e', 'outcome': 'false', 'to_line': None, 'to_condition': None, 'region_lines': [78], 'region_size': 1, 'risk_score': 0.18156346315494537, 'base_risk_score': 0.18156346315494537, 'pass_count': 130, 'fail_count': 36, 'support_count': 2, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 4}, {'kind': 'edge_partition', 'source_file': 'SelectionSort/SelectionSortFive_M5.java', 'from_line': 62, 'from_condition': 'min == d', 'outcome': 'true', 'to_line': 72, 'to_condition': 'd > e', 'region_lines': [63, 64, 65], 'region_size': 3, 'risk_score': 0.17889087656529515, 'base_risk_score': 0.17889087656529515, 'pass_count': 87, 'fail_count': 30, 'support_count': 1, 'best_raw_rank': 4, 'original_rank': 4, 'rank': 5}]"
61,243,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/SelectionSortFive_M6/cct_folded_localization_aggregated.json,37,18,19,statement,data-flow,SelectionSortFive_M6,SUR,SelectionSort/SelectionSortFive_M6.java,64,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,SelectionSort,3,False,"[22, 23, 24]",True,"[63, 64, 65]",4,False,"[22, 23, 24, 38]",True,"[63, 64, 65, 78]",5,False,"[22, 23, 24, 38, 39]",True,"[5, 63, 64, 65, 78]",6,False,"[22, 23, 24, 38, 39, 40]",True,"[5, 8, 63, 64, 65, 78]",7,False,"[3, 22, 23, 24, 38, 39, 40]",True,"[5, 8, 11, 63, 64, 65, 78]","[{'kind': 'edge_partition', 'source_file': 'SelectionSort/SelectionSortFive_M6.java', 'from_line': 62, 'from_condition': 'min == d', 'outcome': 'true', 'to_line': 72, 'to_condition': 'd > e', 'region_lines': [63, 64, 65], 'region_size': 3, 'risk_score': 0.5213675213675214, 'base_risk_score': 0.5213675213675214, 'pass_count': 56, 'fail_count': 61, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'SelectionSort/SelectionSortFive_M6.java', 'from_line': 72, 'from_condition': 'd > e', 'outcome': 'false', 'to_line': None, 'to_condition': None, 'region_lines': [78], 'region_size': 1, 'risk_score': 0.25216430281819857, 'base_risk_score': 0.25216430281819857, 'pass_count': 142, 'fail_count': 37, 'support_count': 2, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 2}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M6.java', 'line': 5, 'condition': 'b < min', 'region_lines': [5], 'region_size': 1, 'risk_score': 0.20065789473684212, 'pass_count': 243, 'fail_count': 61, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 3}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M6.java', 'line': 8, 'condition': 'c < min', 'region_lines': [8], 'region_size': 1, 'risk_score': 0.20065789473684212, 'pass_count': 243, 'fail_count': 61, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 4}, {'kind': 'condition', 'source_file': 'SelectionSort/SelectionSortFive_M6.java', 'line': 11, 'condition': 'd < min', 'region_lines': [11], 'region_size': 1, 'risk_score': 0.20065789473684212, 'pass_count': 243, 'fail_count': 61, 'support_count': 1, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 5}]"
1,31,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/WaterBillCaculator_M1/cct_folded_localization_aggregated.json,8,4,4,condition,control-flow,WaterBillCaculator_M1,BOR,WaterBillCaculator/WaterBillCaculator_M1.java,5,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,WaterBillCaculator,2,False,"[11, 14]",False,"[14, 16]",3,False,"[11, 12, 14]",False,"[12, 14, 16]",4,False,"[9, 11, 12, 14]",False,"[11, 12, 14, 16]",5,False,"[9, 10, 11, 12, 14]",False,"[9, 11, 12, 14, 16]",6,False,"[9, 10, 11, 12, 14, 16]",False,"[9, 10, 11, 12, 14, 16]","[{'kind': 'edge_partition', 'source_file': 'WaterBillCaculator/WaterBillCaculator_M1.java', 'from_line': 11, 'from_condition': 'n < 10', 'outcome': 'false', 'to_line': 8, 'to_condition': 'n > 0', 'region_lines': [14, 16], 'region_size': 2, 'risk_score': 0.047619047619047616, 'base_risk_score': 0.047619047619047616, 'pass_count': 27, 'fail_count': 1, 'support_count': 2, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'WaterBillCaculator/WaterBillCaculator_M1.java', 'from_line': 11, 'from_condition': 'n < 10', 'outcome': 'true', 'to_line': 8, 'to_condition': 'n > 0', 'region_lines': [12, 16], 'region_size': 2, 'risk_score': 0.037037037037037035, 'base_risk_score': 0.037037037037037035, 'pass_count': 26, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 2}, {'kind': 'condition', 'source_file': 'WaterBillCaculator/WaterBillCaculator_M1.java', 'line': 11, 'condition': 'n < 10', 'region_lines': [11], 'region_size': 1, 'risk_score': 0.03571428571428571, 'pass_count': 27, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 3}, {'kind': 'condition', 'source_file': 'WaterBillCaculator/WaterBillCaculator_M1.java', 'line': 9, 'condition': 'n < 3', 'region_lines': [9], 'region_size': 1, 'risk_score': 0.03333333333333333, 'pass_count': 29, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 4}, {'kind': 'edge_partition', 'source_file': 'WaterBillCaculator/WaterBillCaculator_M1.java', 'from_line': 9, 'from_condition': 'n < 3', 'outcome': 'true', 'to_line': 8, 'to_condition': 'n > 0', 'region_lines': [10, 16], 'region_size': 2, 'risk_score': 0.03333333333333333, 'base_risk_score': 0.03333333333333333, 'pass_count': 29, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 4, 'original_rank': 3, 'rank': 5}]"
