cases,cct_hit_count,cct_hit_rate,cct_minus_sfl_hit_rate,cct_strategy,cct_top_r,fault_category,max_budget_lines,mean_budget_lines,median_budget_lines,sfl_budget_hit_count,sfl_budget_hit_rate,sfl_strategy
126,83,0.6587301587301587,-0.15873015873015872,aggregated.composite.condition_or_seed_interval,2,overall,9,5.76984126984127,6.0,103,0.8174603174603174,sfl.ochiai
126,89,0.7063492063492064,-0.2142857142857142,aggregated.composite.condition_or_seed_interval,3,overall,13,8.214285714285714,8.0,116,0.9206349206349206,sfl.ochiai
126,72,0.5714285714285714,-0.15873015873015872,aggregated.composite.condition_or_seed_partitioned_interval,1,overall,6,3.6031746031746033,3.0,92,0.7301587301587301,sfl.ochiai
126,90,0.7142857142857143,-0.11111111111111105,aggregated.composite.condition_or_seed_partitioned_interval,2,overall,10,6.150793650793651,6.0,104,0.8253968253968254,sfl.ochiai
126,96,0.7619047619047619,-0.18253968253968256,aggregated.composite.condition_or_seed_partitioned_interval,3,overall,15,8.619047619047619,8.0,119,0.9444444444444444,sfl.ochiai
126,37,0.29365079365079366,-0.055555555555555525,aggregated.composite.condition_or_seed_shared_interval,1,overall,2,1.6587301587301588,2.0,44,0.3492063492063492,sfl.ochiai
126,47,0.373015873015873,-0.08730158730158727,aggregated.composite.condition_or_seed_shared_interval,2,overall,4,2.484126984126984,3.0,58,0.4603174603174603,sfl.ochiai
126,52,0.4126984126984127,-0.19047619047619047,aggregated.composite.condition_or_seed_shared_interval,3,overall,5,3.3968253968253967,4.0,76,0.6031746031746031,sfl.ochiai
126,38,0.30158730158730157,-0.09523809523809523,aggregated.interval.edge_divergence_gated,1,overall,4,2.2142857142857144,2.0,50,0.3968253968253968,sfl.ochiai
126,48,0.38095238095238093,-0.19841269841269848,aggregated.interval.edge_divergence_gated,2,overall,7,4.0396825396825395,4.0,73,0.5793650793650794,sfl.ochiai
126,49,0.3888888888888889,-0.2619047619047619,aggregated.interval.edge_divergence_gated,3,overall,10,5.674603174603175,5.0,82,0.6507936507936508,sfl.ochiai
126,38,0.30158730158730157,-0.08730158730158732,aggregated.interval.edge_divergence_sibling_exclusive,1,overall,4,2.1507936507936507,2.0,49,0.3888888888888889,sfl.ochiai
126,46,0.36507936507936506,-0.20634920634920634,aggregated.interval.edge_divergence_sibling_exclusive,2,overall,7,3.9603174603174605,4.0,72,0.5714285714285714,sfl.ochiai
126,47,0.373015873015873,-0.2698412698412699,aggregated.interval.edge_divergence_sibling_exclusive,3,overall,10,5.587301587301587,5.0,81,0.6428571428571429,sfl.ochiai
126,10,0.07936507936507936,-0.09523809523809523,aggregated.interval.edge_divergence_sibling_shared,1,overall,1,0.6587301587301587,1.0,22,0.1746031746031746,sfl.ochiai
126,10,0.07936507936507936,-0.10317460317460317,aggregated.interval.edge_divergence_sibling_shared,2,overall,2,0.6746031746031746,1.0,23,0.18253968253968253,sfl.ochiai
126,10,0.07936507936507936,-0.1111111111111111,aggregated.interval.edge_divergence_sibling_shared,3,overall,2,0.7698412698412699,1.0,24,0.19047619047619047,sfl.ochiai
126,36,0.2857142857142857,-0.07142857142857145,aggregated.interval.partitioned_edge_region,1,overall,4,1.9761904761904763,2.0,45,0.35714285714285715,sfl.ochiai
126,44,0.3492063492063492,-0.12698412698412698,aggregated.interval.partitioned_edge_region,2,overall,7,3.253968253968254,3.0,60,0.47619047619047616,sfl.ochiai
126,48,0.38095238095238093,-0.19841269841269848,aggregated.interval.partitioned_edge_region,3,overall,10,4.428571428571429,4.0,73,0.5793650793650794,sfl.ochiai
65,38,0.5846153846153846,-0.15384615384615385,aggregated.composite.condition_or_interval,1,statement,5,3.3692307692307693,3,48,0.7384615384615385,sfl.ochiai
65,48,0.7384615384615385,-0.12307692307692308,aggregated.composite.condition_or_interval,2,statement,9,6.492307692307692,6,56,0.8615384615384616,sfl.ochiai
