status,mutant_id,subject,operator,fault_kind,fault_category,mutant_file,primary_file,primary_line,evaluation_report,duplicate_report_count,strategy,target_type,prediction_count,hit,best_rank,top1_hit,top3_hit,top5_hit,top10_hit,region_size_average,region_size_max,region_size_top1,region_size_hit,region_size_top1_average,region_size_top3_average,region_size_top5_average,region_size_top10_average,hit_item_region_size,cumulative_inspection_region_at_first_hit,inspection_region_top1,inspection_region_top3,inspection_region_top5,inspection_region_top10,hit_lines,notes,dataset_id,experiment_id,method_family
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M1/fault_localization_eval.json,1,aggregated.composite.condition_or_interval,composite,3,True,1,True,True,True,True,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,[3],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M1/fault_localization_eval.json,1,aggregated.condition_node,condition,2,True,1,True,True,True,True,1.0,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,[3],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M1/fault_localization_eval.json,1,aggregated.interval.cct_only,interval,3,True,1,True,True,True,True,1.0,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,[3],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M1/fault_localization_eval.json,1,aggregated.interval.edge_divergence_gated,interval,3,False,,False,False,False,False,0.6666666666666666,1,1,,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1,1,1,1,[],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M1/fault_localization_eval.json,1,aggregated.interval.statement_presence,interval,3,False,,False,False,False,False,0.6666666666666666,1,1,,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1,1,1,1,[],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M1/fault_localization_eval.json,1,raw.condition_node,condition,2,True,1,True,True,True,True,1.0,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,[3],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M1/fault_localization_eval.json,1,raw.interval.cct_only,interval,3,True,1,True,True,True,True,0.3333333333333333,1,0,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,1,1,1,1,[3],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M1/fault_localization_eval.json,1,raw.interval.edge_divergence_gated,interval,3,False,,False,False,False,False,0.6666666666666666,1,1,,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1,1,1,1,[],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M1,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M1.java,AddLoop/AddLoop_M1.java,3,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M1/fault_localization_eval.json,1,raw.interval.statement_presence,interval,3,False,,False,False,False,False,0.6666666666666666,1,1,,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1,1,1,1,[],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M2,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M2.java,AddLoop/AddLoop_M2.java,8,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M2/fault_localization_eval.json,1,aggregated.composite.condition_or_interval,composite,6,True,3,False,True,True,True,3.5,4,2,2,2,4,4,4,2,4,2,4,4,4,[8],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M2,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M2.java,AddLoop/AddLoop_M2.java,8,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M2/fault_localization_eval.json,1,aggregated.condition_node,condition,4,True,3,False,True,True,True,1.0,1,1,1,1.0,1.0,1.0,1.0,1,2,1,2,2,2,[8],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M2,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M2.java,AddLoop/AddLoop_M2.java,8,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M2/fault_localization_eval.json,1,aggregated.interval.cct_only,interval,6,True,1,True,True,True,True,1.8333333333333333,6,1,1,1.0,1.0,1.0,1.8333333333333333,1,1,1,2,2,6,[8],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M2,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M2.java,AddLoop/AddLoop_M2.java,8,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M2/fault_localization_eval.json,1,aggregated.interval.edge_divergence_gated,interval,6,False,,False,False,False,False,0.5,1,1,,1.0,1.0,0.6,0.5,,,1,2,2,2,[],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M2,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M2.java,AddLoop/AddLoop_M2.java,8,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M2/fault_localization_eval.json,1,aggregated.interval.statement_presence,interval,6,False,,False,False,False,False,0.5,1,1,,1.0,1.0,0.6,0.5,,,1,2,2,2,[],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
evaluated,AddLoop_M2,AddLoop,BOR,control-flow,condition,AddLoop/AddLoop_M2.java,AddLoop/AddLoop_M2.java,8,experiments/FL-060701-EX_CSC_dataset/aggregation_ready/cct_eval_reports/AddLoop_M2/fault_localization_eval.json,1,raw.condition_node,condition,4,True,3,False,True,True,True,1.0,1,1,1,1.0,1.0,1.0,1.0,1,2,1,2,2,2,[8],,EX_CSC_dataset,FL-060701-EX_CSC_dataset,CCT
