dataset,mutants,csc_only_killed,csc_only_pct,boundary_killed,boundary_pct,boundary_only,boundary_only_pct,both_killed,neither_killed,neither_pct
EX_CSC_dataset,210,163,77.6,194,92.4,31,14.8,163,16,7.6
Total,210,163,77.6,194,92.4,31,14.8,163,16,7.6
