fault_category,mutants,csc_only_killed,csc_only_pct,boundary_killed,boundary_pct,boundary_only,boundary_only_pct,both_killed,neither_killed,neither_pct
Condition,106,85,80.2,96,90.6,11,10.4,85,10,9.4
Statement,104,78,75.0,98,94.2,20,19.2,78,6,5.8
