target_class_folded_view,evaluated,any_rank_hit,top1,top2,top3
Condition faults (condition candidates),112,111/112 (99.1%),73/112 (65.2%),86/112 (76.8%),94/112 (83.9%)
State-update faults (edge-partition candidates),113,113/113 (100.0%),72/113 (63.7%),101/113 (89.4%),108/113 (95.6%)
