completed,failed_or_timeout,fresh_generation_runs,mean_batch_verify_wall_time_s,mean_cct_nodes,mean_efficiency,mean_frontier_width,mean_max_depth,mean_max_frontier_width,mean_new_testcases,mean_speedup,mean_testcases,mean_time_per_testcase_s,mean_time_s,median_speedup,median_time_s,runs,workers
8,0,8,22.217375,1507.5,1.0,7.852678571428571,73.375,19.125,70.125,1.0,70.125,0.775378817381561,48.64816034350952,1.0,55.209003541531274,8,1
8,0,8,14.88925,1507.5,0.6288704940223859,7.852678571428571,73.375,19.125,70.125,1.2577409880447719,70.125,0.6649471924665039,41.26155586449022,1.1614882874214159,48.04482627048856,8,2
8,0,8,11.4505,1507.5,0.34885114973336623,7.852678571428571,73.375,19.125,70.125,1.395404598933465,70.125,0.6185505853274411,38.15632524499233,1.322875027593678,42.89039047950064,8,4
8,0,8,10.112625,1507.5,0.18526489616637667,7.852678571428571,73.375,19.125,70.125,1.4821191693310134,70.125,0.6056177343613405,37.06079760938155,1.3186483960512831,40.44670389601379,8,8
