budget_terminations,completed,failed_or_timeout,fresh_generation_runs,mean_batch_verify_wall_time_s,mean_cct_nodes,mean_efficiency,mean_frontier_width,mean_max_depth,mean_max_frontier_width,mean_new_testcases,mean_speedup,mean_testcases,mean_time_per_testcase_s,mean_time_s,median_speedup,median_time_s,normal_completions,runs,subjects,workers
0,6,0,6,34.443,832.0,1.0,10.714285714285715,309.5,45.5,81.0,1.0,81.0,0.8655691046807665,70.11109747914209,1.0,70.11109747914209,6,6,2,1
0,6,0,6,23.629833333333334,832.0,0.6178534037167334,10.714285714285715,309.5,45.5,81.0,1.2357068074334667,81.0,0.7010738979737607,56.78698573587462,1.2357068074334667,56.78698573587462,6,6,2,2
0,6,0,6,19.865000000000002,832.0,0.3321312961375651,10.714285714285715,309.5,45.5,81.0,1.3285251845502604,81.0,0.6518527530864314,52.80007300000095,1.3285251845502604,52.80007300000095,6,6,2,4
0,6,0,6,20.605,832.0,0.16157155442179222,10.714285714285715,309.5,45.5,81.0,1.2925724353743377,81.0,0.668703226508657,54.16496134720121,1.2925724353743377,54.16496134720121,6,6,2,8
