all_fingerprints_invariant,cct_semantic_sha256_distinct,cct_semantic_sha256_invariant,cct_semantic_sha256_missing,cct_structure_sha256_distinct,cct_structure_sha256_invariant,cct_structure_sha256_missing,completed_fresh_runs,expected_runs,fingerprints_complete,subject,test_inputs_sha256_distinct,test_inputs_sha256_invariant,test_inputs_sha256_missing,worker_counts
True,1,True,0,1,True,0,12,12,True,BoundaryStressCounter,1,True,0,"[1, 2, 4, 8]"
True,1,True,0,1,True,0,12,12,True,BoundaryStressMeter,1,True,0,"[1, 2, 4, 8]"
