F_total,P_total,aggregated_report,condition_candidates,condition_node_best_rank,condition_node_folded_edge_partition_best_rank,condition_node_folded_edge_partition_hit,condition_node_folded_edge_partition_prediction_count,condition_node_folded_edge_partition_topk,condition_node_hit,condition_node_prediction_count,condition_node_topk,eval_report,fault_category,fault_kind,interval_folded_edge_partition_best_rank,interval_folded_edge_partition_hit,interval_folded_edge_partition_prediction_count,interval_folded_edge_partition_topk,interval_folded_seed_e_best_rank,interval_folded_seed_e_hit,interval_folded_seed_e_prediction_count,interval_folded_seed_e_topk,interval_folded_seed_s_best_rank,interval_folded_seed_s_hit,interval_folded_seed_s_prediction_count,interval_folded_seed_s_topk,mutant_id,operator,raw_report,reason,scoring_strategy,seed_e_candidates,seed_s_candidates,status,subject,unstable_segment_variants
24,48,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M5/cct_folded_localization_aggregated.json,10,,1,True,19,"{""top1"": true, ""top2"": true, ""top3"": true}",False,10,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M5/cct_folded_localization_eval.json,statement,data-flow,1,True,9,"{""top1"": true, ""top2"": true, ""top3"": true}",1,True,9,"{""top1"": true, ""top2"": true, ""top3"": true}",,False,,{},BubbleSortFive_M5,SUR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M5/cct_folded_localization.json,,coverage_x_purity,9,0,evaluated,BubbleSort,0
24,96,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M6/cct_folded_localization_aggregated.json,10,,1,True,21,"{""top1"": true, ""top2"": true, ""top3"": true}",False,10,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M6/cct_folded_localization_eval.json,statement,data-flow,1,True,11,"{""top1"": true, ""top2"": true, ""top3"": true}",1,True,10,"{""top1"": true, ""top2"": true, ""top3"": true}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",BubbleSortFive_M6,SUR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/BubbleSortFive_M6/cct_folded_localization.json,,coverage_x_purity,10,1,evaluated,BubbleSort,1
24,0,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M1/cct_folded_localization_aggregated.json,9,4,,False,16,"{""top1"": false, ""top2"": false, ""top3"": false}",True,9,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M1/cct_folded_localization_eval.json,condition,control-flow,,False,7,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,6,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",LoopBubbleSortFive_M1,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M1/cct_folded_localization.json,,coverage_x_purity,6,1,evaluated,LoopBubbleSortFive,1
24,24,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M2/cct_folded_localization_aggregated.json,9,8,,False,16,"{""top1"": false, ""top2"": false, ""top3"": false}",True,9,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M2/cct_folded_localization_eval.json,condition,control-flow,,False,7,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,6,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",LoopBubbleSortFive_M2,CR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M2/cct_folded_localization.json,,coverage_x_purity,6,1,evaluated,LoopBubbleSortFive,1
24,0,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M3/cct_folded_localization_aggregated.json,9,6,,False,16,"{""top1"": false, ""top2"": false, ""top3"": false}",True,9,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M3/cct_folded_localization_eval.json,condition,control-flow,,False,7,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,6,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",LoopBubbleSortFive_M3,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M3/cct_folded_localization.json,,coverage_x_purity,6,1,evaluated,LoopBubbleSortFive,1
10,45,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M4/cct_folded_localization_aggregated.json,9,,2,True,16,"{""top1"": false, ""top2"": true, ""top3"": true}",False,9,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M4/cct_folded_localization_eval.json,statement,data-flow,2,True,7,"{""top1"": false, ""top2"": true, ""top3"": true}",2,True,6,"{""top1"": false, ""top2"": true, ""top3"": true}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",LoopBubbleSortFive_M4,SUR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M4/cct_folded_localization.json,,coverage_x_purity,6,1,evaluated,LoopBubbleSortFive,1
24,12,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M5/cct_folded_localization_aggregated.json,9,,2,True,16,"{""top1"": false, ""top2"": true, ""top3"": true}",False,9,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M5/cct_folded_localization_eval.json,statement,data-flow,2,True,7,"{""top1"": false, ""top2"": true, ""top3"": true}",2,True,6,"{""top1"": false, ""top2"": true, ""top3"": true}",1,True,1,"{""top1"": true, ""top2"": true, ""top3"": true}",LoopBubbleSortFive_M5,SUR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M5/cct_folded_localization.json,,coverage_x_purity,6,1,evaluated,LoopBubbleSortFive,1
18,30,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M6/cct_folded_localization_aggregated.json,9,,2,True,16,"{""top1"": false, ""top2"": true, ""top3"": true}",False,9,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M6/cct_folded_localization_eval.json,statement,data-flow,2,True,7,"{""top1"": false, ""top2"": true, ""top3"": true}",2,True,6,"{""top1"": false, ""top2"": true, ""top3"": true}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",LoopBubbleSortFive_M6,SUR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopBubbleSortFive_M6/cct_folded_localization.json,,coverage_x_purity,6,1,evaluated,LoopBubbleSortFive,1
127,23,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopSelectionSortFive_M1/cct_folded_localization_aggregated.json,14,6,,False,27,"{""top1"": false, ""top2"": false, ""top3"": false}",True,14,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopSelectionSortFive_M1/cct_folded_localization_eval.json,condition,control-flow,,False,13,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,12,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",LoopSelectionSortFive_M1,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopSelectionSortFive_M1/cct_folded_localization.json,,coverage_x_purity,15,1,evaluated,LoopSelectionSortFive,1
140,30,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopSelectionSortFive_M2/cct_folded_localization_aggregated.json,13,1,1,True,25,"{""top1"": true, ""top2"": true, ""top3"": true}",True,13,"{""top1"": true, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopSelectionSortFive_M2/cct_folded_localization_eval.json,condition,control-flow,,False,12,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,11,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",LoopSelectionSortFive_M2,CR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/folded_fault_localization/fl_combined_3exp_144tasks/artifacts/FL-060701-EX_CSC_dataset/LoopSelectionSortFive_M2/cct_folded_localization.json,,coverage_x_purity,13,1,evaluated,LoopSelectionSortFive,1
