covered_leaves,empty_leaves,expanded_leaves,infeasible_leaves,internal_nodes,leaf_nodes,max_depth,mode,out_of_range_leaves,subject,tests,total_nodes,wall_time_s
15,22,0,11,47,26,14,CSC-only,0,BoundaryStressCounter,15,73,5.2466220000060275
15,22,0,27,63,42,16,CSC-only,0,BoundaryStressMeter,15,105,5.459828334045596
74,0,66,292,375,376,276,CSC+Boundary,10,BoundaryStressCounter,74,751,50.54013816593215
74,0,66,373,456,457,343,CSC+Boundary,10,BoundaryStressMeter,74,913,84.73116566694807
74,0,66,292,375,376,276,CSC+Boundary,10,BoundaryStressCounter,74,751,61.84519558399916
74,0,66,373,456,457,343,CSC+Boundary,10,BoundaryStressMeter,74,913,78.97023695788812
74,0,66,292,375,376,276,CSC+Boundary,10,BoundaryStressCounter,74,751,62.15987541701179
74,0,66,373,456,457,343,CSC+Boundary,10,BoundaryStressMeter,74,913,82.41997308307327
